district,gr1_high_price,gr1_avg_price,gr2_high_price,gr2_avg_price,white_high_price,white_avg_price,published_at,created_at,updated_at,url
national,1211.29,1211.29,1250.0,1191.0,1900.0,1683.8,2016-01-05 00:00:00,2024-09-10 08:50:34,2024-09-10 08:50:34,https://exagri.info/mkt/2016/1.05-january-2016.html
national,1220.64,1220.64,1225.0,1194.0,1900.0,1721.8,2016-01-12 00:00:00,2024-09-10 09:00:57,2024-09-10 09:00:57,https://exagri.info/mkt/2016/1.12-january-2016.html
national,1228.77,1228.77,1260.0,1197.67,1900.0,1706.2,2016-01-19 00:00:00,2024-09-10 09:20:50,2024-09-10 09:20:50,https://exagri.info/mkt/2016/1.19.January-2016.html
national,1218.93,1218.93,1250.0,1189.0,2000.0,1732.8,2016-01-26 00:00:00,2024-09-10 09:14:00,2024-09-10 09:14:00,https://exagri.info/mkt/2016/1.26.january-2016.html
national,1194.07,1194.07,1180.0,1143.5,1900.0,1719.6,2016-02-02 00:00:00,2024-09-10 09:16:23,2024-09-10 09:16:23,https://exagri.info/mkt/2016/5.2.february-2016.html
national,1226.5,1226.5,1280.0,1220.5,1900.0,1732.8,2016-03-08 00:00:00,2024-09-10 09:12:14,2024-09-10 09:12:14,https://exagri.info/mkt/2016/10.08.march-2016.html
national,1236.5,1236.5,1270.0,1210.5,1880.0,1719.2,2016-03-15 00:00:00,2024-09-10 08:56:55,2024-09-10 08:56:55,https://exagri.info/mkt/2016/11.15.march-2016.html
national,1240.21,1240.21,1260.0,1207.5,1900.0,1759.0,2016-03-21 00:00:00,2024-09-10 08:58:09,2024-09-10 08:58:09,https://exagri.info/mkt/2016/12.21.march-2016.html
national,1237.43,1237.43,1260.0,1209.5,1905.0,1750.6,2016-03-29 00:00:00,2024-09-10 08:54:10,2024-09-10 08:54:10,https://exagri.info/mkt/2016/13.29.march-2016.html
national,1238.36,1238.36,1290.0,1209.5,1900.0,1753.6,2016-04-05 00:00:00,2024-09-10 08:58:00,2024-09-10 08:58:00,https://exagri.info/mkt/2016/14.05.04.april-2016.html
national,1229.54,1229.54,1280.0,1206.5,1900.0,1740.4,2016-04-19 00:00:00,2024-09-10 09:19:51,2024-09-10 09:19:51,https://exagri.info/mkt/2016/15.19April -2016.html
national,1236.29,1236.29,1250.0,1214.5,2000.0,1760.4,2016-04-26 00:00:00,2024-09-10 08:59:16,2024-09-10 08:59:16,https://exagri.info/mkt/2016/16.26.April-2016.html
national,1249.5,1249.5,1220.0,1179.0,2000.0,1763.2,2016-05-03 00:00:00,2024-09-10 08:50:02,2024-09-10 08:50:02,https://exagri.info/mkt/2016/17.03.may-2016.html
national,1284.75,1284.75,1280.0,1260.0,1950.0,1768.0,2016-05-10 00:00:00,2024-09-10 09:04:49,2024-09-10 09:04:49,https://exagri.info/mkt/2016/18.10.may-2016.html
national,1302.85,1302.85,1275.0,1207.5,2000.0,1801.2,2016-05-17 00:00:00,2024-09-10 09:13:18,2024-09-10 09:13:18,https://exagri.info/mkt/2016/19.17.may-2016.html
national,1318.14,1318.14,1300.0,1261.5,2200.0,1848.6,2016-05-24 00:00:00,2024-09-10 08:58:05,2024-09-10 08:58:05,https://exagri.info/mkt/2016/20.24.may-2016.html
national,1327.92,1327.92,1325.0,1275.0,2000.0,1816.25,2016-05-31 00:00:00,2024-09-10 09:11:31,2024-09-10 09:11:31,https://exagri.info/mkt/2016/21.31.may-2016.html
national,1377.93,1377.93,1350.0,1291.0,2200.0,1854.8,2016-06-07 00:00:00,2024-09-10 09:07:07,2024-09-10 09:07:07,https://exagri.info/mkt/2016/22.07.june-2016.html
national,1374.64,1374.64,1350.0,1318.5,2000.0,1843.4,2016-06-14 00:00:00,2024-09-10 08:55:13,2024-09-10 08:55:13,https://exagri.info/mkt/2016/23.14.june-2016.html
national,1347.0,1347.0,1340.0,1301.67,2000.0,1825.2,2016-06-21 00:00:00,2024-09-10 09:14:19,2024-09-10 09:14:19,https://exagri.info/mkt/2016/24.21.june-2016.html
national,1311.14,1311.14,1330.0,1294.0,2000.0,1822.0,2016-06-28 00:00:00,2024-09-10 09:12:28,2024-09-10 09:12:28,https://exagri.info/mkt/2016/25.28.June-2016.html
national,824.58,824.58,860.0,662.0,1900.0,1670.0,2016-07-04 00:00:00,2024-09-10 09:17:56,2024-09-10 09:17:56,https://exagri.info/mkt/2017/04.07.2017.html
national,1290.79,1290.79,1330.0,1287.0,2000.0,1845.8,2016-07-04 00:00:00,2024-09-10 08:57:27,2024-09-10 08:57:27,https://exagri.info/mkt/2016/26.04.July-2016.html
national,1280.54,1280.54,1250.0,1227.0,1950.0,1814.4,2016-07-12 00:00:00,2024-09-10 09:19:07,2024-09-10 09:19:07,https://exagri.info/mkt/2016/27.12.July-2016.html
national,1275.21,1275.21,1250.0,1238.5,2000.0,1806.0,2016-07-18 00:00:00,2024-09-10 09:14:32,2024-09-10 09:14:32,https://exagri.info/mkt/2016/28.18.July-2016.html
national,1276.64,1276.64,1250.0,1242.0,2000.0,1861.4,2016-07-26 00:00:00,2024-09-10 09:15:01,2024-09-10 09:15:01,https://exagri.info/mkt/2016/29.26.July-2016.html
national,1281.86,1281.86,1275.0,1253.5,2000.0,1797.2,2016-08-02 00:00:00,2024-09-10 08:49:12,2024-09-10 08:49:12,https://exagri.info/mkt/2016/02august2016.html
national,1270.07,1270.07,1225.0,1178.0,1930.0,1714.17,2016-08-15 00:00:00,2024-09-10 09:13:29,2024-09-10 09:13:29,https://exagri.info/mkt/2016/32.15.august-2016.html
national,1259.07,1259.07,1270.0,1217.5,1880.0,1795.0,2016-08-23 00:00:00,2024-09-10 09:03:27,2024-09-10 09:03:27,https://exagri.info/mkt/2016/33.23.August-2016.html
national,1261.79,1261.79,1280.0,1216.0,1900.0,1798.6,2016-08-30 00:00:00,2024-09-10 09:18:32,2024-09-10 09:18:32,https://exagri.info/mkt/2016/34.30.august-2016.30.html
national,1265.43,1265.43,1300.0,1228.0,1900.0,1795.0,2016-09-06 00:00:00,2024-09-10 08:57:33,2024-09-10 08:57:33,https://exagri.info/mkt/2016/35.06.September.2016.html
national,1276.38,1276.38,1290.0,1237.0,1950.0,1810.2,2016-09-13 00:00:00,2024-09-10 09:01:22,2024-09-10 09:01:22,https://exagri.info/mkt/2016/36.13.Septmber.2016.html
national,1277.29,1277.29,1280.0,1216.5,1900.0,1793.4,2016-09-20 00:00:00,2024-09-10 09:05:21,2024-09-10 09:05:21,https://exagri.info/mkt/2016/37.20.September.2016.html
national,1299.86,1299.86,1240.0,1196.5,2100.0,1887.6,2016-10-04 00:00:00,2024-09-10 08:59:41,2024-09-10 08:59:41,https://exagri.info/mkt/2016/04.10.2016.html
national,1320.38,1320.38,1275.0,1224.0,2100.0,1825.8,2016-10-11 00:00:00,2024-09-10 09:20:12,2024-09-10 09:20:12,https://exagri.info/mkt/2016/11.10.2016.html
national,1326.86,1326.86,1280.0,1261.0,2100.0,1897.8,2016-10-18 00:00:00,2024-09-10 09:10:12,2024-09-10 09:10:12,https://exagri.info/mkt/2016/18.10.2016.html
national,1323.14,1323.14,1360.0,1296.0,2150.0,1881.5,2016-10-25 00:00:00,2024-09-10 08:53:45,2024-09-10 08:53:45,https://exagri.info/mkt/2016/25.10.2016.html
national,1323.46,1323.46,1315.0,1284.0,2100.0,1883.8,2016-11-01 00:00:00,2024-09-10 09:13:56,2024-09-10 09:13:56,https://exagri.info/mkt/2016/01.11.2016.html
national,1334.21,1334.21,1375.0,1304.0,2100.0,1936.2,2016-11-08 00:00:00,2024-09-10 09:00:44,2024-09-10 09:00:44,https://exagri.info/mkt/2016/08.11.2016.html
national,1329.21,1329.21,1340.0,1290.33,2100.0,1916.8,2016-11-15 00:00:00,2024-09-10 09:09:16,2024-09-10 09:09:16,https://exagri.info/mkt/2016/15.11.2016.html
national,1335.57,1335.57,1345.0,1277.75,2250.0,1952.8,2016-11-22 00:00:00,2024-09-10 08:51:15,2024-09-10 08:51:15,https://exagri.info/mkt/2016/22.11.2016.html
national,1328.46,1328.46,1340.0,1371.33,2350.0,1951.0,2016-11-29 00:00:00,2024-09-10 08:50:21,2024-09-10 08:50:21,https://exagri.info/mkt/2016/29.11.2016.html
national,1288.5,1288.5,1270.0,1239.67,2150.0,1945.2,2016-12-06 00:00:00,2024-09-10 08:54:54,2024-09-10 08:54:54,https://exagri.info/mkt/2016/06.12.2016.html
national,1221.85,1221.85,1243.0,1199.0,2100.0,1907.6,2016-12-14 00:00:00,2024-09-10 08:53:16,2024-09-10 08:53:16,https://exagri.info/mkt/2016/14.12.2016.html
national,1154.86,1154.86,1190.0,1139.0,2150.0,1913.0,2016-12-20 00:00:00,2024-09-10 08:51:48,2024-09-10 08:51:48,https://exagri.info/mkt/2016/20.12.2016.html
national,1138.77,1138.77,1100.0,1029.0,2100.0,1871.0,2016-12-27 00:00:00,2024-09-10 08:50:53,2024-09-10 08:50:53,https://exagri.info/mkt/2016/27.12.2016.html
national,1115.5,1115.5,1100.0,1071.5,2150.0,1900.0,2017-01-03 00:00:00,2024-09-10 09:20:25,2024-09-10 09:20:25,https://exagri.info/mkt/2017/03.01.2017.html
national,1109.86,1109.86,1160.0,1056.5,2200.0,1905.6,2017-01-10 00:00:00,2024-09-10 08:51:27,2024-09-10 08:51:27,https://exagri.info/mkt/2017/10.01.2017.html
national,1111.38,1111.38,1080.0,1026.0,2100.0,1907.2,2017-01-17 00:00:00,2024-09-10 09:07:20,2024-09-10 09:07:20,https://exagri.info/mkt/2017/17.01.2017.html
national,1104.43,1104.43,1100.0,1013.5,2100.0,1889.0,2017-01-24 00:00:00,2024-09-10 09:20:42,2024-09-10 09:20:42,https://exagri.info/mkt/2017/24.01.2017.html
